id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,edad
25,Jorge Castillo Aguilar,jorge.castillo.aguilar4@correo.com,Femenino,,La Libertad,Vip,
26,Lucía Aguilar García,lucia.aguilar.garcia5@mail.com,,,Sonsonate,Vip,
27,Diego Hernández Ortiz,diego.hernandez.ortiz6@gmail.com,Femenino,,Sonsonate,Pyme,
28,Paula Castillo Santos,paula.castillo.santos0@gmail.com,Femenino,1978-06-21,San Salvador,Premium,47.0
29,Valeria García Gómez,valeria.garcia.gomez1@mail.com,,,La Libertad,<Na>,
30,Ricardo Castillo Martínez,ricardo.castillo.martinez2@example.com,,,Santa Ana,<Na>,
31,Sofía Rojas Hernández,sofia.rojas.hernandez3@correo.com,Femenino,,San Salvador,Premium,
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Femenino,,San Miguel,<Na>,
33,Ricardo Chávez García,ricardo.chavez.garcia5@seguro.sv,Femenino,1993-08-26,San Miguel,Vip,32.0
34,Diego Santos Santos,diego.santos.santos6@example.com,Femenino,,Santa Ana,<Na>,
35,Paula Flores Gómez,paula.flores.gomez0@seguro.sv,Masculino,,San Miguel,Regular,
36,Marta Hernández Gómez,marta.hernandez.gomez1@seguro.sv,Femenino,,Sonsonate,Pyme,
37,María Reyes Flores,maria.reyes.flores2@seguro.sv,Masculino,,Sonsonate,Pyme,
38,Juan Ramírez Mendoza,juan.ramirez.mendoza3@seguro.sv,Masculino,,San Salvador,Regular,
39,Fernanda Pérez Castillo,fernanda.perez.castillo4@seguro.sv,Masculino,,Sonsonate,Premium,
40,Carlos Ortiz López,carlos.ortiz.lopez5@correo.com,Masculino,,San Salvador,Pyme,
41,Carlos Mendoza Flores,carlos.mendoza.flores6@seguro.sv,Masculino,,Sonsonate,Pyme,
42,Sofía Torres Mendoza,sofia.torres.mendoza0@mail.com,Femenino,,San Miguel,Regular,
43,Ana Castillo Castillo,ana.castillo.castillo1@seguro.sv,,,Sonsonate,Regular,
44,Marta Ortiz Ortiz,marta.ortiz.ortiz2@example.com,Masculino,,Sonsonate,Premium,
45,Andrés Martínez Reyes,andres.martinez.reyes3@seguro.sv,,,La Libertad,Premium,
46,Daniela Santos Reyes,daniela.santos.reyes4@seguro.sv,Masculino,1949-01-01,La Libertad,Premium,77.0
47,Andrés Pérez García,andres.perez.garcia5@example.com,Femenino,1982-02-13,La Libertad,Regular,44.0
48,Fernanda Morales Reyes,fernanda.morales.reyes6@seguro.sv,Masculino,,Sonsonate,Premium,
49,Carlos Cruz García,carlos.cruz.garcia0@mail.com,,,San Miguel,Vip,
50,Marta Martínez Castillo,marta.martinez.castillo1@correo.com,Masculino,1972-02-28,La Libertad,Premium,54.0
51,Carmen Gómez García,carmen.gomez.garcia2@gmail.com,Masculino,,La Libertad,Premium,
52,Diego Chávez Flores,diego.chavez.flores3@mail.com,,,Sonsonate,Vip,
53,Paula Vásquez Santos,paula.vasquez.santos4@seguro.sv,Femenino,,San Miguel,Pyme,
54,Ricardo Hernández Cruz,ricardo.hernandez.cruz5@gmail.com,Femenino,,San Salvador,Regular,
55,Ana Santos Martínez,ana.santos.martinez6@example.com,Masculino,1994-05-27,San Miguel,Premium,31.0
56,Karla Flores Pérez,karla.flores.perez0@mail.com,Femenino,,San Salvador,Regular,
57,Luis García Castillo,luis.garcia.castillo1@correo.com,Masculino,,Sonsonate,<Na>,
58,Daniela Flores Gómez,daniela.flores.gomez2@seguro.sv,Femenino,,San Salvador,Vip,
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,,,San Miguel,Vip,
60,Paula Vásquez Flores,paula.vasquez.flores4@example.com,Masculino,,La Libertad,<Na>,
61,Fernanda Reyes Torres,fernanda.reyes.torres5@seguro.sv,Femenino,,San Salvador,Vip,
62,Juan Castillo Aguilar,juan.castillo.aguilar6@gmail.com,,,La Libertad,<Na>,
63,Andrés Santos Pérez,andres.santos.perez0@seguro.sv,Femenino,,San Miguel,Regular,
64,Sofía Chávez Chávez,sofia.chavez.chavez1@mail.com,Masculino,,Sonsonate,Vip,
65,Lucía Flores Ramírez,lucia.flores.ramirez2@seguro.sv,Masculino,,Sonsonate,Vip,
66,Marta Cruz Pérez,marta.cruz.perez3@mail.com,Masculino,,Sonsonate,Premium,
67,Marta Pérez Torres,marta.perez.torres4@correo.com,,1940-04-02,San Miguel,Vip,86.0
68,Ana Pérez López,ana.perez.lopez5@correo.com,Femenino,,San Salvador,Regular,
69,Juan Pérez Rojas,juan.perez.rojas6@mail.com,,,San Miguel,<Na>,
70,José Chávez Mendoza,jose.chavez.mendoza0@mail.com,Masculino,1959-11-16,San Miguel,Vip,66.0
71,Juan Aguilar Morales,juan.aguilar.morales1@seguro.sv,,,San Salvador,<Na>,
72,Luis García Pérez,luis.garcia.perez2@gmail.com,Masculino,,La Libertad,<Na>,
73,Carlos Chávez Mendoza,carlos.chavez.mendoza3@mail.com,Masculino,1994-04-25,Santa Ana,Pyme,31.0
74,Diego Rojas Reyes,diego.rojas.reyes4@mail.com,Femenino,,San Miguel,Regular,
75,Luis Aguilar García,luis.aguilar.garcia5@mail.com,,,San Miguel,<Na>,
76,Juan Santos Ortiz,juan.santos.ortiz6@mail.com,,,La Libertad,Regular,
77,Karla Castillo Vásquez,karla.castillo.vasquez0@correo.com,,,Santa Ana,Regular,
78,Fernanda Vásquez Hernández,fernanda.vasquez.hernandez1@correo.com,,2008-06-01,Sonsonate,<Na>,17.0
79,Ana Torres Flores,ana.torres.flores2@example.com,Femenino,,San Salvador,Premium,
80,Jorge Morales García,jorge.morales.garcia3@mail.com,Masculino,1952-09-22,Santa Ana,Pyme,73.0
81,Paula Reyes Gómez,paula.reyes.gomez4@example.com,Femenino,1973-03-13,San Salvador,Premium,53.0
82,Carmen Torres Martínez,carmen.torres.martinez5@seguro.sv,Masculino,,La Libertad,Pyme,
83,Andrés Flores Ramírez,andres.flores.ramirez6@example.com,,,San Miguel,Pyme,
84,Daniela Castillo Martínez,daniela.castillo.martinez0@gmail.com,Femenino,,Santa Ana,Premium,
85,Luis Flores Castillo,luis.flores.castillo1@seguro.sv,,,Santa Ana,<Na>,
86,Diego Mendoza Ortiz,diego.mendoza.ortiz2@mail.com,,,La Libertad,Pyme,
87,María Reyes Santos,maria.reyes.santos3@seguro.sv,Femenino,,La Libertad,Regular,
88,Carmen Torres Chávez,carmen.torres.chavez4@mail.com,,,Santa Ana,<Na>,
89,Lucía Mendoza García,lucia.mendoza.garcia5@example.com,Masculino,,Santa Ana,<Na>,
90,José Mendoza Mendoza,jose.mendoza.mendoza6@example.com,Femenino,,Santa Ana,Premium,
91,Valeria Ramírez Gómez,valeria.ramirez.gomez0@mail.com,,,La Libertad,<Na>,
92,Paula Santos Torres,paula.santos.torres1@example.com,,,San Salvador,Pyme,
93,Carlos Flores Santos,carlos.flores.santos2@mail.com,Femenino,,La Libertad,Vip,
94,Pedro Castillo García,pedro.castillo.garcia3@mail.com,Femenino,1997-11-01,Sonsonate,Pyme,28.0
95,Jorge Ortiz Martínez,jorge.ortiz.martinez4@gmail.com,Masculino,,San Miguel,Pyme,
96,Daniela Pérez Martínez,daniela.perez.martinez5@example.com,Masculino,1980-06-01,Santa Ana,Premium,45.0
97,Paula Chávez Mendoza,paula.chavez.mendoza6@example.com,Femenino,,La Libertad,Regular,
98,Karla Martínez Reyes,karla.martinez.reyes0@gmail.com,Masculino,,San Miguel,<Na>,
99,Luis Reyes García,luis.reyes.garcia1@example.com,Femenino,,Santa Ana,Vip,
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,Masculino,1997-09-23,San Salvador,<Na>,28.0
101,Pedro López Vásquez,pedro.lopez.vasquez3@correo.com,Femenino,,Santa Ana,Premium,
102,Luis García Castillo,luis.garcia.castillo4@gmail.com,Masculino,,San Miguel,Premium,
103,Karla Morales Pérez,karla.morales.perez5@gmail.com,,,San Salvador,Regular,
104,Diego Chávez Torres,diego.chavez.torres6@seguro.sv,Masculino,1965-07-24,Santa Ana,Pyme,60.0
105,Sofía Vásquez Santos,sofia.vasquez.santos0@example.com,,1979-07-12,Sonsonate,Premium,46.0
106,Sofía Torres Pérez,sofia.torres.perez1@seguro.sv,Femenino,1962-06-06,San Salvador,Vip,63.0
107,Carlos García Gómez,carlos.garcia.gomez2@gmail.com,,,San Salvador,Pyme,
108,Pedro López Rojas,pedro.lopez.rojas3@example.com,Masculino,,San Salvador,Premium,
109,Ana Reyes Hernández,ana.reyes.hernandez4@correo.com,,,San Miguel,Premium,
110,Ricardo Chávez Torres,ricardo.chavez.torres5@mail.com,Femenino,,Santa Ana,<Na>,
111,Daniela Rojas Hernández,daniela.rojas.hernandez6@example.com,Masculino,,Santa Ana,<Na>,
112,Paula García Hernández,paula.garcia.hernandez0@mail.com,Masculino,1984-11-03,Sonsonate,Premium,41.0
113,Carlos Rojas López,carlos.rojas.lopez1@gmail.com,,,San Salvador,Regular,
114,María Mendoza Ortiz,maria.mendoza.ortiz2@gmail.com,Masculino,,La Libertad,Vip,
115,Lucía Vásquez Flores,lucia.vasquez.flores3@mail.com,Femenino,,San Salvador,Regular,
116,Luis Martínez Vásquez,luis.martinez.vasquez4@correo.com,Masculino,,La Libertad,Premium,
117,María Chávez Martínez,maria.chavez.martinez5@correo.com,Femenino,,San Miguel,Pyme,
118,Fernanda Aguilar Flores,fernanda.aguilar.flores6@correo.com,Femenino,,San Salvador,Regular,
119,José Vásquez Rojas,jose.vasquez.rojas0@seguro.sv,Femenino,,La Libertad,Regular,
120,Daniela Flores García,daniela.flores.garcia1@seguro.sv,Femenino,,Sonsonate,Regular,
121,José García Reyes,jose.garcia.reyes2@seguro.sv,Femenino,,Santa Ana,Regular,
122,Paula Martínez Vásquez,paula.martinez.vasquez3@example.com,Masculino,,San Salvador,Regular,
123,Daniela Gómez López,daniela.gomez.lopez4@seguro.sv,Femenino,,San Salvador,Regular,
124,Pedro Morales Santos,pedro.morales.santos5@seguro.sv,Femenino,,La Libertad,<Na>,
125,Luis Mendoza Vásquez,luis.mendoza.vasquez6@example.com,Masculino,,San Salvador,Pyme,
126,Daniela Morales Ortiz,daniela.morales.ortiz0@example.com,,,Sonsonate,Pyme,
127,Sofía Hernández Pérez,sofia.hernandez.perez1@seguro.sv,Masculino,,San Miguel,<Na>,
128,Fernanda Castillo Castillo,fernanda.castillo.castillo2@correo.com,Femenino,1954-02-17,Santa Ana,Premium,72.0
129,Luis Cruz Aguilar,luis.cruz.aguilar3@gmail.com,Femenino,,Sonsonate,<Na>,
130,María García Castillo,maria.garcia.castillo4@seguro.sv,Masculino,,La Libertad,Vip,
131,Luis Reyes García,luis.reyes.garcia5@gmail.com,Femenino,,Sonsonate,Premium,
132,Luis Rojas Mendoza,luis.rojas.mendoza6@gmail.com,,,Santa Ana,Regular,
133,Diego Vásquez Mendoza,diego.vasquez.mendoza0@example.com,Masculino,1965-06-25,San Miguel,Regular,60.0
134,Karla Ortiz García,karla.ortiz.garcia1@gmail.com,Femenino,,Santa Ana,<Na>,
135,Marta Santos Martínez,marta.santos.martinez2@gmail.com,Femenino,,Sonsonate,<Na>,
136,Ana Aguilar Ortiz,ana.aguilar.ortiz3@example.com,,,La Libertad,Pyme,
137,María Martínez Gómez,maria.martinez.gomez4@seguro.sv,Masculino,,Sonsonate,Regular,
138,Marta Vásquez Morales,marta.vasquez.morales5@gmail.com,Masculino,,San Miguel,Pyme,
139,José Flores Chávez,jose.flores.chavez6@mail.com,Femenino,,Sonsonate,Premium,
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,,2004-09-10,La Libertad,Regular,21.0
141,Ricardo López García,ricardo.lopez.garcia1@correo.com,Masculino,1975-04-12,San Miguel,Vip,50.0
142,Carlos Aguilar Torres,carlos.aguilar.torres2@example.com,Masculino,,San Salvador,Premium,
143,Valeria Vásquez Morales,valeria.vasquez.morales3@mail.com,Femenino,1972-10-30,Santa Ana,<Na>,53.0
144,Carlos García Morales,carlos.garcia.morales4@gmail.com,Femenino,1985-03-28,Sonsonate,Premium,41.0
145,José Morales Vásquez,jose.morales.vasquez5@gmail.com,Femenino,,Santa Ana,<Na>,
146,Lucía Mendoza Martínez,lucia.mendoza.martinez6@example.com,,1944-01-24,La Libertad,<Na>,82.0
147,Daniela Pérez Reyes,daniela.perez.reyes0@seguro.sv,Femenino,,Sonsonate,<Na>,
148,Daniela Ortiz Aguilar,daniela.ortiz.aguilar1@seguro.sv,Femenino,,San Miguel,Pyme,
149,Jorge Castillo López,jorge.castillo.lopez2@gmail.com,Femenino,,San Salvador,Pyme,
150,Carmen Mendoza Torres,carmen.mendoza.torres3@correo.com,Masculino,,San Salvador,Vip,
151,Sofía López Chávez,sofia.lopez.chavez4@seguro.sv,Masculino,,Sonsonate,Pyme,
152,Juan Pérez Mendoza,juan.perez.mendoza5@seguro.sv,Masculino,,San Miguel,Pyme,
153,Fernanda Reyes Ortiz,fernanda.reyes.ortiz6@example.com,Femenino,,Santa Ana,Regular,
154,Fernanda Castillo Cruz,fernanda.castillo.cruz0@correo.com,,,La Libertad,<Na>,
155,Valeria Castillo Hernández,valeria.castillo.hernandez1@seguro.sv,,,Santa Ana,Vip,
156,Carlos García Vásquez,carlos.garcia.vasquez2@seguro.sv,Masculino,,Sonsonate,<Na>,
157,Valeria Pérez Hernández,valeria.perez.hernandez3@correo.com,Masculino,,Sonsonate,Premium,
158,Juan Hernández Rojas,juan.hernandez.rojas4@mail.com,Masculino,,San Salvador,Premium,
159,Andrés Aguilar Aguilar,andres.aguilar.aguilar5@example.com,Femenino,,San Salvador,<Na>,
160,Diego Ortiz Martínez,diego.ortiz.martinez6@correo.com,Femenino,,La Libertad,Regular,
161,Juan López Castillo,juan.lopez.castillo0@example.com,Femenino,,Sonsonate,Pyme,
162,Luis Mendoza Chávez,luis.mendoza.chavez1@mail.com,Femenino,,La Libertad,Premium,
163,Ana Reyes Castillo,ana.reyes.castillo2@correo.com,,1990-12-09,La Libertad,<Na>,35.0
164,Marta García Morales,marta.garcia.morales3@correo.com,,,Santa Ana,Regular,
165,Lucía Cruz Chávez,lucia.cruz.chavez4@example.com,Femenino,2007-08-16,Sonsonate,Regular,18.0
166,Pedro Cruz Martínez,pedro.cruz.martinez5@example.com,,,Sonsonate,Vip,
167,Carlos Vásquez Torres,carlos.vasquez.torres6@correo.com,,,La Libertad,Regular,
168,Andrés Ortiz Aguilar,andres.ortiz.aguilar0@correo.com,Masculino,2007-12-11,San Salvador,Pyme,18.0
169,Daniela Vásquez García,daniela.vasquez.garcia1@gmail.com,Masculino,,Sonsonate,Premium,
170,Carmen Reyes Mendoza,carmen.reyes.mendoza2@correo.com,Femenino,,San Salvador,Pyme,
171,Juan Chávez Pérez,juan.chavez.perez3@gmail.com,Femenino,1986-01-17,La Libertad,Vip,40.0
172,Lucía Flores López,lucia.flores.lopez4@mail.com,Femenino,,San Miguel,<Na>,
173,Juan García Aguilar,juan.garcia.aguilar5@correo.com,,,San Miguel,Pyme,
174,Lucía Morales García,lucia.morales.garcia6@gmail.com,,,San Salvador,<Na>,
175,Lucía Mendoza Pérez,lucia.mendoza.perez0@mail.com,Femenino,,La Libertad,Pyme,
176,Fernanda Morales Cruz,fernanda.morales.cruz1@correo.com,Femenino,,San Salvador,Pyme,
177,Karla López Cruz,karla.lopez.cruz2@gmail.com,Femenino,,Sonsonate,Premium,
178,Juan Morales Chávez,juan.morales.chavez3@mail.com,,1961-01-08,San Miguel,<Na>,65.0
179,Marta Santos Torres,marta.santos.torres4@example.com,Masculino,,Santa Ana,Premium,
180,Andrés Castillo Flores,andres.castillo.flores5@gmail.com,,,Sonsonate,Vip,
181,Pedro Morales Mendoza,pedro.morales.mendoza6@seguro.sv,,,La Libertad,<Na>,
182,Ricardo Cruz Cruz,ricardo.cruz.cruz0@correo.com,,,Sonsonate,Pyme,
183,Fernanda Mendoza Pérez,fernanda.mendoza.perez1@correo.com,Femenino,,La Libertad,Vip,
184,Fernanda Ramírez Martínez,fernanda.ramirez.martinez2@gmail.com,Femenino,,San Salvador,<Na>,
185,Fernanda Ramírez Aguilar,fernanda.ramirez.aguilar3@example.com,Femenino,,Santa Ana,Vip,
186,Ricardo Cruz Torres,ricardo.cruz.torres4@correo.com,Masculino,,San Miguel,Pyme,
187,Fernanda Vásquez Castillo,fernanda.vasquez.castillo5@seguro.sv,,,La Libertad,Premium,
188,Pedro Reyes Rojas,pedro.reyes.rojas6@correo.com,,,San Miguel,<Na>,
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,,1953-09-03,Santa Ana,<Na>,72.0
190,Marta Flores Aguilar,marta.flores.aguilar1@seguro.sv,,,San Miguel,Premium,
191,Fernanda Aguilar Gómez,fernanda.aguilar.gomez2@mail.com,Masculino,,San Salvador,Vip,
192,Andrés Pérez Cruz,andres.perez.cruz3@mail.com,Masculino,1946-02-05,La Libertad,Vip,80.0
193,Karla Torres Aguilar,karla.torres.aguilar4@mail.com,Masculino,1999-02-23,La Libertad,Vip,27.0
194,Daniela Flores Ortiz,daniela.flores.ortiz5@seguro.sv,,,San Salvador,Premium,
195,Diego Ramírez Torres,diego.ramirez.torres6@example.com,Femenino,,San Salvador,Pyme,
196,Paula Santos Cruz,paula.santos.cruz0@mail.com,Masculino,,San Salvador,Pyme,
197,Lucía Ortiz Aguilar,lucia.ortiz.aguilar1@correo.com,Masculino,,La Libertad,<Na>,
198,José Mendoza Martínez,jose.mendoza.martinez2@gmail.com,,,San Salvador,Regular,
199,Fernanda Santos Martínez,fernanda.santos.martinez3@example.com,Femenino,,Sonsonate,Pyme,
200,María Castillo Gómez,maria.castillo.gomez4@seguro.sv,Masculino,1990-08-05,San Miguel,Premium,35.0
201,María Mendoza Vásquez,maria.mendoza.vasquez5@correo.com,Masculino,,Sonsonate,<Na>,
202,Lucía Reyes López,lucia.reyes.lopez6@seguro.sv,,,San Miguel,Pyme,
203,Andrés Gómez Santos,andres.gomez.santos0@gmail.com,Femenino,,San Salvador,Regular,
204,Luis Morales Pérez,luis.morales.perez1@example.com,Masculino,,San Salvador,Pyme,
205,Pedro Flores Hernández,pedro.flores.hernandez2@seguro.sv,,1951-11-20,Sonsonate,Pyme,74.0
206,José López García,jose.lopez.garcia3@gmail.com,Femenino,,La Libertad,Regular,
207,Andrés Morales García,andres.morales.garcia4@correo.com,Femenino,2005-01-10,Santa Ana,Premium,21.0
208,Luis Flores Castillo,luis.flores.castillo5@mail.com,,,San Miguel,Regular,
209,Ricardo García Vásquez,ricardo.garcia.vasquez6@seguro.sv,Femenino,1962-07-31,Santa Ana,Vip,63.0
210,Luis Castillo López,luis.castillo.lopez0@gmail.com,,,La Libertad,Pyme,
211,Karla Pérez Castillo,karla.perez.castillo1@correo.com,,,Santa Ana,Regular,
212,Carlos Aguilar Santos,carlos.aguilar.santos2@seguro.sv,Femenino,,San Miguel,<Na>,
213,Sofía Santos Ortiz,sofia.santos.ortiz3@gmail.com,Femenino,,Santa Ana,Regular,
214,María Rojas Aguilar,maria.rojas.aguilar4@correo.com,Femenino,,La Libertad,Vip,
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,,1992-03-26,San Salvador,<Na>,34.0
216,Karla García Hernández,karla.garcia.hernandez6@example.com,,2008-12-26,San Salvador,Pyme,17.0
217,Marta Rojas Hernández,marta.rojas.hernandez0@correo.com,Masculino,1940-12-11,Sonsonate,<Na>,85.0
218,Diego Chávez Vásquez,diego.chavez.vasquez1@gmail.com,Masculino,,San Miguel,Pyme,
219,José Castillo Rojas,jose.castillo.rojas2@correo.com,Femenino,,San Miguel,Premium,
220,Daniela Aguilar Vásquez,daniela.aguilar.vasquez3@seguro.sv,Femenino,,San Miguel,Vip,
221,Ana Reyes Hernández,ana.reyes.hernandez4@correo.com,Masculino,,Sonsonate,Regular,
222,Fernanda Rojas Chávez,fernanda.rojas.chavez5@correo.com,,,La Libertad,<Na>,
223,Sofía Chávez Santos,sofia.chavez.santos6@correo.com,Masculino,,San Salvador,Vip,
224,Fernanda Gómez Vásquez,fernanda.gomez.vasquez0@mail.com,Femenino,,Sonsonate,<Na>,
225,Lucía Torres Morales,lucia.torres.morales1@example.com,,1992-08-29,Santa Ana,<Na>,33.0
226,Jorge García Pérez,jorge.garcia.perez2@example.com,Masculino,,San Miguel,<Na>,
227,Lucía Rojas Torres,lucia.rojas.torres3@seguro.sv,,,Sonsonate,<Na>,
228,Carmen Aguilar Castillo,carmen.aguilar.castillo4@seguro.sv,Femenino,,San Miguel,Pyme,
229,Luis Ramírez Morales,luis.ramirez.morales5@seguro.sv,,,La Libertad,Pyme,
230,Carmen García Santos,carmen.garcia.santos6@correo.com,Femenino,,San Miguel,<Na>,
231,Carlos Gómez Chávez,carlos.gomez.chavez0@seguro.sv,Masculino,1990-09-30,San Salvador,Vip,35.0
232,Valeria Ortiz Vásquez,valeria.ortiz.vasquez1@mail.com,,1988-08-17,Santa Ana,Vip,37.0
233,Diego Castillo Martínez,diego.castillo.martinez2@mail.com,,,Santa Ana,<Na>,
234,Pedro Torres Rojas,pedro.torres.rojas3@correo.com,Masculino,,Sonsonate,<Na>,
235,Valeria Torres Ortiz,valeria.torres.ortiz4@example.com,Femenino,1955-02-08,San Miguel,Vip,71.0
236,Luis Rojas Martínez,luis.rojas.martinez5@correo.com,,,Santa Ana,Premium,
237,Lucía Aguilar Pérez,lucia.aguilar.perez6@seguro.sv,,,San Salvador,Pyme,
238,Daniela Flores Vásquez,daniela.flores.vasquez0@example.com,Femenino,,San Salvador,Regular,
239,María Ortiz Morales,maria.ortiz.morales1@correo.com,,,San Miguel,Regular,
240,Fernanda Santos Pérez,fernanda.santos.perez2@example.com,Masculino,,San Salvador,Pyme,
241,Ana Hernández Gómez,ana.hernandez.gomez3@seguro.sv,Masculino,,San Miguel,Regular,
242,María Vásquez Flores,maria.vasquez.flores4@correo.com,Femenino,,San Miguel,Pyme,
243,María Hernández López,maria.hernandez.lopez5@correo.com,Femenino,,Sonsonate,Vip,
244,Ana Reyes Hernández,ana.reyes.hernandez6@seguro.sv,Masculino,,La Libertad,Vip,
245,José Reyes Vásquez,jose.reyes.vasquez0@correo.com,Masculino,,San Salvador,<Na>,
246,Ana Torres Gómez,ana.torres.gomez1@correo.com,Masculino,,La Libertad,Pyme,
247,Sofía García Hernández,sofia.garcia.hernandez2@gmail.com,,,La Libertad,Premium,
248,Diego Flores García,diego.flores.garcia3@gmail.com,Femenino,,San Salvador,Premium,
249,Daniela Torres Mendoza,daniela.torres.mendoza4@example.com,Masculino,,Santa Ana,Pyme,
250,José Cruz Aguilar,jose.cruz.aguilar5@gmail.com,Femenino,,San Miguel,Pyme,
251,Jorge Rojas Vásquez,jorge.rojas.vasquez6@seguro.sv,Masculino,,Sonsonate,Vip,
252,Valeria Ramírez Martínez,valeria.ramirez.martinez0@seguro.sv,Masculino,,Sonsonate,Pyme,
253,Lucía García Ortiz,lucia.garcia.ortiz1@example.com,Masculino,,San Salvador,Premium,
254,Luis Ortiz Reyes,luis.ortiz.reyes2@mail.com,Femenino,,Santa Ana,Premium,
255,María Rojas Hernández,maria.rojas.hernandez3@mail.com,Femenino,,San Salvador,Premium,
256,Ana Gómez Aguilar,ana.gomez.aguilar4@example.com,,,Santa Ana,Vip,
257,Ana Reyes Rojas,ana.reyes.rojas5@example.com,Femenino,,La Libertad,<Na>,
258,Pedro Martínez Aguilar,pedro.martinez.aguilar6@correo.com,Femenino,,Sonsonate,Premium,
259,Daniela López Martínez,daniela.lopez.martinez0@seguro.sv,Femenino,,Santa Ana,Vip,
260,Fernanda Rojas Cruz,fernanda.rojas.cruz1@example.com,Femenino,,Sonsonate,Vip,
261,Daniela Martínez Gómez,daniela.martinez.gomez2@mail.com,,,La Libertad,Regular,
262,Marta García Ortiz,marta.garcia.ortiz3@gmail.com,Femenino,,Santa Ana,Regular,
263,Jorge Aguilar Ramírez,jorge.aguilar.ramirez4@correo.com,,,La Libertad,Premium,
264,Fernanda Vásquez López,fernanda.vasquez.lopez5@example.com,Masculino,,Sonsonate,Pyme,
265,Ricardo Martínez Pérez,ricardo.martinez.perez6@mail.com,Masculino,2003-11-05,La Libertad,Pyme,22.0
266,María Santos Hernández,maria.santos.hernandez0@seguro.sv,Masculino,1985-05-05,Sonsonate,Pyme,40.0
267,Luis Cruz Castillo,luis.cruz.castillo1@seguro.sv,Femenino,,La Libertad,Premium,
268,María Ramírez Pérez,maria.ramirez.perez2@mail.com,,,Santa Ana,Pyme,
269,Marta Rojas Hernández,marta.rojas.hernandez3@correo.com,,,La Libertad,Vip,
270,María Gómez Castillo,maria.gomez.castillo4@mail.com,Masculino,,Santa Ana,Premium,
271,Pedro Morales Mendoza,pedro.morales.mendoza5@example.com,,,La Libertad,<Na>,
272,Fernanda Cruz Hernández,fernanda.cruz.hernandez6@correo.com,Masculino,,San Salvador,Premium,
273,Sofía Morales Vásquez,sofia.morales.vasquez0@mail.com,Femenino,2001-07-27,San Miguel,Vip,24.0
274,María Ramírez Chávez,maria.ramirez.chavez1@example.com,Masculino,,La Libertad,Premium,
275,Jorge Rojas Morales,jorge.rojas.morales2@seguro.sv,,,Santa Ana,Regular,
276,Valeria Chávez Pérez,valeria.chavez.perez3@gmail.com,Masculino,,La Libertad,<Na>,
